"Date","CPU Utilization"
"2015-07-06 00:55:00","4.0066666667e+00"
"2015-07-06 01:00:00","4.9933333333e+00"
"2015-07-06 01:05:00","4.0066666667e+00"
"2015-07-06 01:10:00","4.9933333333e+00"
"2015-07-06 01:15:00","4.0066666667e+00"
"2015-07-06 01:20:00","4.9966666667e+00"
"2015-07-06 01:25:00","4.0066666667e+00"
"2015-07-06 01:30:00","4.9933333333e+00"
"2015-07-06 01:35:00","1.3910000000e+01"
"2015-07-06 01:40:00","1.7973333333e+01"
"2015-07-06 01:45:00","1.5040000000e+01"
"2015-07-06 01:50:00","1.2030000000e+01"
"2015-07-06 01:55:00","3.5840000000e+01"
"2015-07-06 02:00:00","2.4080000000e+01"
"2015-07-06 02:05:00","2.9960000000e+01"
"2015-07-06 02:10:00","4.3860000000e+01"
"2015-07-06 02:15:00","4.3013333333e+01"
"2015-07-06 02:20:00","5.4920000000e+01"
"2015-07-06 02:25:00","6.4900000000e+00"
"2015-07-06 02:30:00","5.3680000000e+01"
"2015-07-06 02:35:00","4.6666666667e+00"
"2015-07-06 02:40:00","4.0000000000e+00"
"2015-07-06 02:45:00","4.0000000000e+00"
"2015-07-06 02:50:00","4.9933333333e+00"
"2015-07-06 02:55:00","4.0100000000e+00"
"2015-07-06 03:00:00","4.9933333333e+00"
"2015-07-06 03:05:00","5.9933333333e+00"
"2015-07-06 03:10:00","6.0000000000e+00"
"2015-07-06 03:15:00","1.1960000000e+01"
"2015-07-06 03:20:00","7.0333333333e+00"
"2015-07-06 03:25:00","1.0973333333e+01"
"2015-07-06 03:30:00","1.1993333333e+01"
"2015-07-06 03:35:00","1.6966666667e+01"
"2015-07-06 03:40:00","1.6006666667e+01"
"2015-07-06 03:45:00","6.6660000000e+01"
"2015-07-06 03:50:00","2.5280000000e+01"
"2015-07-06 03:55:00","4.2880000000e+01"
"2015-07-06 04:00:00","3.2073333333e+01"
"2015-07-06 04:05:00","4.1866666667e+00"
"2015-07-06 04:10:00","4.0000000000e+00"
"2015-07-06 04:15:00","4.9933333333e+00"
"2015-07-06 04:20:00","3.0133333333e+00"
"2015-07-06 04:25:00","3.9933333333e+00"
"2015-07-06 04:30:00","4.0000000000e+00"
"2015-07-06 04:35:00","4.0000000000e+00"
"2015-07-06 04:40:00","5.9866666667e+00"
"2015-07-06 04:45:00","5.0066666667e+00"
"2015-07-06 04:50:00","4.0066666667e+00"
"2015-07-06 04:55:00","4.9933333333e+00"
"2015-07-06 05:00:00","5.9933333333e+00"
"2015-07-06 05:05:00","9.9733333333e+00"
"2015-07-06 05:10:00","1.1986666667e+01"
"2015-07-06 05:15:00","9.0200000000e+00"
"2015-07-06 05:20:00","9.0000000000e+00"
"2015-07-06 05:25:00","1.6946666667e+01"
"2015-07-06 05:30:00","2.9913333333e+01"
"2015-07-06 05:35:00","3.4966666667e+01"
